Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
325,93.37,93.51,93.25,92.73,92.78
326,93.32,93.5,93.28,92.97,92.76
327,93.36,93.51,93.24,93.07,92.71
328,93.4,93.54,93.26,92.64,92.84
329,93.37,93.49,93.3,92.68,92.84
330,93.31,93.46,93.28,92.86,92.78
331,93.35,93.52,93.28,92.82,92.69
332,93.26,93.52,93.29,92.48,92.73
333,93.3,93.58,93.17,92.39,92.72
334,93.33,93.56,93.28,92.67,92.79
335,93.36,93.5,93.37,92.33,92.73
336,93.39,93.57,93.37,92.64,92.74
337,93.36,93.56,93.26,92.69,92.79
338,93.38,93.52,93.24,92.61,92.78
339,93.3,93.49,93.33,92.96,92.81
340,93.42,93.59,93.32,92.82,92.83
341,93.38,93.55,93.29,92.71,92.78
342,93.36,93.5,93.23,92.48,92.77
343,93.44,93.51,93.26,92.95,92.75
344,93.33,93.53,93.23,92.47,92.72
345,93.39,93.4,93.27,92.62,92.67
346,93.38,93.53,93.19,92.74,92.76
347,93.36,93.52,93.24,92.51,92.72
348,93.36,93.44,93.26,92.46,92.69
349,93.34,93.53,93.26,92.53,92.78
350,93.36,93.57,93.16,92.63,92.7
351,93.34,93.48,93.3,92.52,92.86
352,93.37,93.52,93.32,92.91,92.75
353,93.38,93.49,93.33,92.71,92.78
354,93.35,93.53,93.33,92.58,92.82
355,93.35,93.46,93.23,93.01,92.77
356,93.34,93.46,93.27,92.9,92.82
357,93.34,93.54,93.3,92.91,92.79
358,93.28,93.51,93.3,92.73,92.72
359,93.39,93.51,93.32,92.96,92.8
360,93.39,93.48,93.32,92.66,92.8
361,93.34,93.53,93.25,92.64,92.73
362,93.42,93.46,93.28,92.6,92.67
363,93.33,93.58,93.35,92.76,92.77
364,93.36,93.47,93.22,92.63,92.75
365,93.36,93.52,93.28,92.6,92.82
366,93.32,93.45,93.33,91.98,92.77
367,93.36,93.48,93.22,92.59,92.67
368,93.34,93.52,93.35,92.86,92.75
369,93.36,93.55,93.35,92.71,92.78
370,93.35,93.55,93.27,92.66,92.76
371,93.41,93.5,93.35,93.11,92.73
372,93.33,93.55,93.28,92.78,92.79
373,93.36,93.56,93.31,92.32,92.75
374,93.31,93.47,93.36,92.78,92.73
375,93.35,93.53,93.2,92.97,92.67
376,93.35,93.46,93.21,92.8,92.73
377,93.35,93.54,93.3,92.99,92.81
378,93.32,93.53,93.22,92.91,92.82
379,93.39,93.55,93.27,92.59,92.77
380,93.32,93.52,93.31,92.67,92.74
381,93.33,93.57,93.27,92.51,92.73
382,93.37,93.54,93.29,92.56,92.74
383,93.41,93.54,93.23,92.67,92.74
384,93.29,93.6,93.2,92.35,92.78
385,93.3,93.54,93.36,92.82,92.79
